date,open,high,low,close,earn_rate,,,,,
 2018/01/02,1000,1018.77,987.05,1003.44,0.0034,,,,,
 2018/01/03,1003.36,1024.56,995.26,1013.68,0.0103,,,,,
 2018/01/04,1011.96,1023.63,998.31,1007.48,-0.0044,,,,,
 2018/01/05,1010.87,1033.87,1000.51,1013.13,0.0022,,,,,
 2018/01/08,1017.21,1031.91,995.83,1013.83,-0.0033,,,,,
 2018/01/09,1013.91,1024.32,993.19,1002.6,-0.0112,,,,,
 2018/01/10,1004.31,1019.97,983,999.88,-0.0044,,,,,
 2018/01/11,999.22,1040.12,988.04,1029.52,0.0303,,,,,
 2018/01/12,1029.9,1040.54,1007.06,1016.44,-0.0131,,,,,
 2018/01/15,1009.59,1018.53,969.99,982.46,-0.0269,,,,=,
 2018/01/16,981.2,1004.28,970.25,990.85,0.0098,,,,,
 2018/01/17,986.55,1002.05,958.74,990.78,0.0043,,,,,
 2018/01/18,985.7,1008.57,974.96,987.07,0.0014,,,,,
 2018/01/19,988.2,1004.69,976.9,991.65,0.0035,,,,,
 2018/01/22,991.42,1021.54,975.71,1009.55,0.0183,,,,,
 2018/01/23,1005.78,1019.89,996.38,1005.33,-0.0004,,,,,
 2018/01/24,1004.48,1050.79,989.95,1041.75,0.0371,,,,,
 2018/01/25,1039.51,1073.43,1028.16,1038.97,-0.0005,,,,,
 2018/01/26,1035.42,1063.21,1029.55,1045.26,0.0095,,,,,
 2018/01/29,1041.62,1067.12,1022.4,1035.66,-0.0057,,,,,
 2018/01/30,1033.51,1059.4,1016.94,1036.27,0.0027,,,,,
 2018/01/31,1030.44,1042.23,1000.14,1013.8,-0.0161,,,,,
 2018/02/01,1010.93,1032.56,971.62,981.92,-0.0287,,,,,
 2018/02/02,967.63,998.77,939.11,981.61,0.0144,,,,,
 2018/02/05,968.04,993.89,954.49,971.75,0.0038,,,,,
 2018/02/06,948.44,968.66,899.79,908.71,-0.0419,,,,,
 2018/02/07,928.79,945.73,880.5,913.04,-0.017,,,,,
 2018/02/08,910.65,942.53,903.96,927.37,0.0184,,,,,
 2018/02/09,896.94,932.9,875.86,901.01,0.0045,,,,,
